title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Crookz: The Big Heist,http://fitgirl-repacks.site/crookz-the-big-heist/,2016-07-19,2,,,RUS/ENG/MULTI7Original Size: 3.3 GBRepack Size: 2.4 GB,3379,2457,0.73,
Crusader Kings 2: Horse Lords v2.4.1 + 57 DLCs,http://fitgirl-repacks.site/crusader-kings-2-horse-lords-v2-4-1-57-dlcs/,2016-07-18,8,,,RUS/ENG/MULTI5Original Size: 956 MBRepack Size: 593/749 MB [Selective Download],956,593,0.62,
Crusader Kings 2: Way of Life + 49 DLC,http://fitgirl-repacks.site/crusader-kings-2-way-of-life-49-dlc/,2016-07-07,4,,,ENG/MULTI4Original Size: 915 MBRepack Size: 564 MB,915,564,0.62,
Crysis 3: Digital Deluxe Edition v1.3 Proper Crack,http://fitgirl-repacks.site/crysis-3-digital-deluxe-edition-v1-3-proper-crack/,2016-07-16,103,,,RUS/ENG/MULTI10Original Size: 14 3 GBRepack Size: 6 8 GB [Selective Download],14643,6963,0.48,
Crystal Rift,http://fitgirl-repacks.site/crystal-rift/,2016-07-25,1,,,,4096,586,0.14,
Cults & Daggers,http://fitgirl-repacks.site/cults-daggers/,2016-07-10,,,,,800,418,0.52,
Cuphead,http://fitgirl-repacks.site/cuphead/,2017-09-30,1,Arcade  Run and gun  Side  2D,,ENG,2867,1536,0.54,
D4: Dark Dreams Don’t Die,http://fitgirl-repacks.site/d4-dark-dreams-dont-die/,2016-07-16,1,,,ENG/MULTI7Original Size: 5 5 GBRepack Size: 3 4 GB,5632,3481,0.62,
Danganronpa 2: Goodbye Despair,http://fitgirl-repacks.site/danganronpa-2-goodbye-despair/,2016-07-25,3,,,ENG/JAPOriginal Size: 3.5 GBRepack Size: 2.3 GB,3584,2355,0.66,
Danganronpa Another Episode: Ultra Despair Girls,http://fitgirl-repacks.site/danganronpa-another-episode-ultra-despair-girls/,2017-06-29,50,Action  Shooter  Third-person  3D  Horror  Japanese,,ENG/JAP,16281,7270,0.45,
Danganronpa V3: Killing Harmony,http://fitgirl-repacks.site/danganronpa-v3-killing-harmony/,2017-09-28,,Adventure  Visual novel  First-person  3D  Japanese,,ENG,21094,10752,0.51,
Danganronpa: Trigger Happy Havoc – Limited Edition,http://fitgirl-repacks.site/danganronpa-trigger-happy-havoc-limited-edition/,2016-07-23,1,,,ENG/JAPOriginal Size: 2.6 GBRepack Size: 1.4/1.5 GB,2662,1433,0.54,
Danger Zone,http://fitgirl-repacks.site/danger-zone/,2017-05-30,48,Arcade  Driving  Physics-based  3D,,ENG,2150,1126,0.52,
Dangerous Golf v1.02,http://fitgirl-repacks.site/dangerous-golf-v1-02/,2016-07-31,8,,,ENG/MULTI5,8192,5529,0.67,
Dark Souls 2: Scholar of the First Sin,http://fitgirl-repacks.site/dark-souls-2-scholar-of-the-first-sin/,2016-07-14,28,,,RUS/ENG/MULTI10Original Size: 15 4 GBRepack Size: 6 9 GB,15769,7065,0.45,
Dark Souls 3- v1.15 + 2 DLCs,http://fitgirl-repacks.site/dark-souls-3/,2017-11-30,1,RPG  Open world  Third-person  3D,From Software,RUS/ENG/MULTI12,25804,15155,0.59,
Darkest Dungeon v13322,http://fitgirl-repacks.site/darkest-dungeon-v13322/,2016-07-22,7,,,RUS/ENG/MULTI8Original Size: 1.4 GBRepack Size: 1 GB,1433,1024,0.71,
Darksiders 2: Deathinitive Edition + Update 2,http://fitgirl-repacks.site/darksiders-2-deathinitive-edition-update-2/,2016-07-21,30,,,RUS/ENG/MULTI9Original Size: 14.4 GBRepack Size: 7.4/7.5 GB [Selective Download],14745,7577,0.51,
Darksiders 2: The Complete Edition,http://fitgirl-repacks.site/darksiders-2-the-complete-edition/,2016-07-10,8,,,RUS/ENG/MULTI9Original Size: 8 2 GBRepack Size: 4 3~6 GB [Selective Download],8396,4403,0.52,
Darksiders: Warmastered Edition + Update 11 (v1.00 cs:2617),http://fitgirl-repacks.site/darksiders-warmastered-edition/,2017-04-10,249,Action  Slasher  Third-person  3D,Vigil Games  Gunfire Games  THQ Nordic,RUS/ENG/MULTI11,22425,16076,0.72,
Day of the Tentacle Remastered,http://fitgirl-repacks.site/day-of-the-tentacle-remastered/,2016-07-24,1,,,ENG/MULTI5Original Size: 2.16 GBRepack Size: 1.66 GB,2211,1699,0.77,
de Blob,http://fitgirl-repacks.site/de-blob/,2017-04-28,36,Arcade  Third-person  3D,Blue Tongue Entertainment / THQ Nordic,ENG/MULTI12,4812,2764,0.57,
de Blob 2 – v0.15,http://fitgirl-repacks.site/de-blob-2/,2017-06-26,30,Arcade  Jump and run  Third-person  3D,Blue Tongue Entertainment / THQ Nordic,ENG/MULTI8,7065,5427,0.77,
Dead by Daylight v1.0.2 Hotfix 2,http://fitgirl-repacks.site/dead-by-daylight-v1-0-2-hotfix-2/,2016-07-29,18,,,,7782,2560,0.33,
Dead Effect,http://fitgirl-repacks.site/dead-effect/,2016-07-07,2,,,RUS/ENG/MULTI6Original Size: 2 9 GBRepack Size: 1 05 GB,2969,1075,0.36,
Dead Effect 2,http://fitgirl-repacks.site/dead-effect-2/,2016-07-27,5,,,RUS/ENGOriginal Size: 6.9 GBRepack Size: 3.5/3.8 GB,7065,3584,0.51,
Dead Island: Definitive Collection,http://fitgirl-repacks.site/dead-island-definitive-collection/,2016-07-27,16,,,RUS/ENG/MULTI8Original Size: 16.4 GBRepack Size: from 7.8 GB [Selective Download],16793,7987,0.48,
Dead Rising + All DLCs + HotFix,http://fitgirl-repacks.site/dead-rising-dlcs-hotfix/,2016-09-14,121,Action  Open world  Third-person  3D  Zombies,Capcom Production Studio 1 / Capcom,RUS/ENG/MULTI7,6348,2355,0.37,
Dead Rising 2: Complete Pack,http://fitgirl-repacks.site/dead-rising-2-complete-pack/,2016-07-18,40,,,RUS/ENG/MULTI7Original Size: 10.5 GBRepack Size: 5.3/5.8 GB [Selective Download],10752,5427,0.5,
Dead Rising 3: Apocalypse Edition Update 6/7 + 4 DLC,http://fitgirl-repacks.site/dead-rising-3-apocalypse-edition-update-67-4-dlc/,2016-07-25,25,,,RUS/ENG/MULTI11Original Size: 33 GBRepack Size: 12.3 GB [Selective Download],33792,12595,0.37,
Dead Rising 4 + Update 2 + 8 DLCs + Multiplayer,http://fitgirl-repacks.site/dead-rising-4/,2017-07-03,405,Action  Shooter  Slasher  Third-person  3D  Zombies,Capcom Game Studio Vancouver / Capcom,RUS/ENG/MULTI12,68710,18841,0.27,
Dead State (v1.0.0.134),http://fitgirl-repacks.site/dead-state-v1-0-0-134/,2016-07-07,2,,,,2764,698,0.25,
Deadlight: Director’s Cut,http://fitgirl-repacks.site/deadlight-directors-cut/,2016-07-28,6,,,ENG/MULTI5,4300,2150,0.5,
Death Cargo,http://fitgirl-repacks.site/death-cargo/,2016-07-07,,,,,3072,1300,0.42,
Deathtrap v1.0.6,http://fitgirl-repacks.site/deathtrap-v1-0-6/,2016-07-28,1,,,RUS/ENG/MULTI10Original Size: 4.1 GBRepack Size: 1.6 GB,4198,1638,0.39,
Debris,http://fitgirl-repacks.site/debris/,2017-10-24,,Adventure  First-person  3D  Horror,,,7372,3788,0.51,
Decay: The Mare,http://fitgirl-repacks.site/decay-the-mare/,2016-07-09,2,,,RUS/ENG/MULTI10Original Size: 955 MBRepack Size: 262 MB,955,262,0.27,
Despair,http://fitgirl-repacks.site/despair/,2016-07-15,,,,RUS/ENGOriginal Size: 708 MBRepack Size: 316 MB,708,316,0.45,
Deus Ex: Mankind Divided – Digital Deluxe Edition  v1.16 build 761.0 + All DLCs + Bonus Content,http://fitgirl-repacks.site/deus-ex-mankind-divided-digital-deluxe-edition/,2017-03-16,906,Action  Shooter  RPG  Stealth  First-person  Third-person  3D  Cyberpunk,Eidos-Montreal / Square Enix,RUS/ENG/MULTI8,47104,22220,0.47,
Devil May Cry 4: Special Edition,http://fitgirl-repacks.site/devil-may-cry-4-special-edition/,2016-07-17,24,,,ENG/MULTI6Original Size: 20 GBRepack Size: 4.7 GB,20480,4812,0.23,
Dex,http://fitgirl-repacks.site/dex/,2016-07-15,2,,,,2764,1536,0.56,
DGU,http://fitgirl-repacks.site/dgu/,2016-07-18,1,,,RUS/ENG/MULTI8Original Size: 13.9 GBRepack Size: 3.3 GB,14233,3379,0.24,
Diluvion – v1.15e + 2 DLCs,http://fitgirl-repacks.site/diluvion-v1-15e-2-dlcs/,2017-02-03,33,RPG  Action RPG  Open world  Third-person  3D  Submarines,Arachnid Games  Gambitious Digital Entertainment,RUS/ENG/MULTI5,2252,1433,0.64,
DiRT 3: Complete Edition,http://fitgirl-repacks.site/dirt-3-complete-edition/,2016-07-14,34,,,RUS/ENG/MULTI6Original Size: 8 6 GBRepack Size: 3 9~4 GB (Selective Download),8806,3993,0.45,
DiRT 4 – v1.02 + HotFix + 3 DLCs,http://fitgirl-repacks.site/dirt-4/,2017-06-10,222,Racing  Rally  3D,,ENG/MULTI6,32358,15155,0.47,
DiRT Rally – v1.23,http://fitgirl-repacks.site/dirt-rally/,2017-09-21,1,Racing  Rally  Simulation  3D,,RUS/ENG/MULTI7,31539,9011,0.29,
Dishonored 2 – v1.77.5.0/Update 3 + DLC,http://fitgirl-repacks.site/dishonored-2-v1-77-5-0update-3-dlc/,2017-06-06,567,Action  Stealth  First-person  3D  Steampunk,Arkane Studios / Bethesda Softworks,RUS/ENG/MULTI9,54272,20992,0.39,
Dishonored: Death of the Outsider,http://fitgirl-repacks.site/dishonored-death-of-the-outsider/,2017-09-26,1,Action  Shooter  Stealth  First-person  3D,Arkane Studios / Bethesda Softworks,RUS/ENG/MULTI10,29491,14540,0.49,
Dishonored: Game of the Year/Definitive Edition,http://fitgirl-repacks.site/dishonored-game-of-the-year-edition/,2017-07-12,76,Action  Stealth  First-person  3D  Steampunk,Arkane Studios / Bethesda Softworks,RUS/ENG/MULTI9,17100,4608,0.27,
Disney Infinity: Gold Collection – 1.0 + 2.0 + 3.0,http://fitgirl-repacks.site/disney-infinity-gold-collection-1-0-2-0-3-0/,2017-01-11,179,Arcade  Open world  Sandbox  Third-person  3D,Avalanche Software  Disney Interactive Studios,RUS/ENG/MULTI8,28364,14336,0.51,
Divinity: Original Sin – Digital Collector’s Edition  v1.0.252.0,http://fitgirl-repacks.site/divinity-original-sin-digital-collectors-edition-v1-0-252-0/,2016-07-14,3,,,RUS/ENG/MULTI6Original Size: 7 2 GBRepack Size: 5 4~6 4 GB (Selective Download),7372,5529,0.75,
