title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Serious Sam HD: The Second Encounter – Build 263699 + All DLCs,http://fitgirl-repacks.site/serious-sam-hd-the-second-encounter/,2017-07-02,42,Action  Shooter  First-person  3D,Croteam / Devolver Digital,RUS/ENG/MULTI8,3891,1945,0.5,
Seven: The Days Long Gone – v1.0.2,http://fitgirl-repacks.site/seven-the-days-long-gone/,2017-12-02,1,RPG  Action RPG  Isometric  3D,IMGN.PRO  Fool’s Theory,RUS/ENG/MULTI9,3379,2048,0.61,
Sexy Beach Premium Resort v1.11 + 14 DLC,http://fitgirl-repacks.site/sexy-beach-premium-resort-v1-11-14-dlc/,2016-07-24,35,,,RUS/ENGOriginal Size: 15.4 GBRepack Size: 3.6 GB,15769,3686,0.23,
Shadow Complex Remastered,http://fitgirl-repacks.site/shadow-complex-remastered/,2016-07-21,6,,,RUS/ENG/MULTI10Original Size: 1.3 GBRepack Size: 765 MB,1331,765,0.57,
Shadow Tactics: Blades of the Shogun – v1.1.2.f,http://fitgirl-repacks.site/shadow-tactics-blades-shogun-v1-1-2-f/,2016-12-07,94,Strategy  Tactics  Stealth  Isometric  3D  Real-time,Mimimi Productions / Daedalic Entertainment,RUS/ENG/MULTI10,9216,4096,0.44,
Shadow Warrior 2: Deluxe Edition  v1.11.1.0 + 9 DLCs,http://fitgirl-repacks.site/shadow-warrior-2-deluxe-edition/,2017-08-25,283,Action  Shooter  First-person  3D,Flying Wild Hog / Devolver Digital,RUS/ENG/MULTI7,13414,8192,0.61,
Shadow Warrior: Special Edition v1.5.0,http://fitgirl-repacks.site/shadow-warrior-special-edition-v1-5-0/,2016-07-17,11,,,RUS/ENG/MULTI11Original Size: 13.8 GBRepack Size: 5.4/5.6 GB [Selective Download],14131,5529,0.39,
Shadowrun: Hong Kong,http://fitgirl-repacks.site/shadowrun-hong-kong/,2016-07-19,2,,,,2969,1945,0.66,
Shadwen,http://fitgirl-repacks.site/shadwen/,2016-07-27,2,,,ENG/MULTI5Original Size: 4.6 GBRepack Size: 3.8 GB,4710,3891,0.83,
Sherlock Holmes: The Devil’s Daughter,http://fitgirl-repacks.site/sherlock-holmes-devils-daughter/,2017-07-03,108,Adventure  Third-person  3D,Frogwares / Bigben Interactive,RUS/ENG/MULTI15,15052,4608,0.31,
Shift Happens,http://fitgirl-repacks.site/shift-happens/,2017-03-08,86,Arcade  Logic  Side  3D,Klonk Games  Deck13  FFF Bayern,RUS/ENG/MULTI5,1740,1024,0.59,
Shiftlings,http://fitgirl-repacks.site/shiftlings/,2016-07-10,1,,,ENG/MULTI6Original Size: 1 3 GBRepack Size: 784 MB,1331,784,0.59,
Shiness: The Lightning Kingdom – v1.01 + Maherian Language Pack DLC,http://fitgirl-repacks.site/shiness-lightning-kingdom-v1-01-maherian-language-pack-dlc/,2017-04-20,56,RPG  Open world  Third-person  3D,Ynnis Interactive / Focus Home Interactive,,8806,6553,0.74,
Shiny,http://fitgirl-repacks.site/shiny/,2016-09-02,22,Arcade  Jump and run  Side  3D,Garage 227 Studios / 1C Publishing EU,RUS/ENG/MULTI7,4710,3379,0.72,
Shock Tactics + HotFix,http://fitgirl-repacks.site/shock-tactics-hotfix/,2017-04-15,29,Strategy  Tactics  Isometric  3D  Turn-based,Point Blank Games / EuroVideo Medien,RUS/ENG/MULTI6,6860,2662,0.39,
SickBrick – Steam Version,http://fitgirl-repacks.site/sickbrick-steam-version/,2016-07-08,,,,,446,252,0.57,
Sid Meier’s Civilization: Beyond Earth + 2 DLC,http://fitgirl-repacks.site/sid-meiers-civilization-beyond-earth-2-dlc/,2016-07-20,38,,,RUS/ENG/MULTI11Original Size: 5.6 GBRepack Size: 2.2~2.9 GB [Selective Download],5734,2252,0.39,
Sid Meier’s Starships,http://fitgirl-repacks.site/sid-meiers-starships/,2016-07-14,,,,RUS/ENG/MULTI10Original Size: 641 MBRepack Size: 514 MB,641,514,0.8,
Sid Meier’s Civilization 6 – v1.0.0.194 + 7 DLCs + Bonus Content,http://fitgirl-repacks.site/sid-meiers-civilization-6/,2017-10-21,530,Strategy  4X  3D  Turn-based,Firaxis Games / 2K Games,RUS/ENG/MULTI12,7065,3481,0.49,
Silence: The Whispered World 2 – v1.1.20227,http://fitgirl-repacks.site/silence-whispered-world-2-v1-1-20227/,2016-11-15,20,Adventure  Point-and-click,,RUS/ENG/MULTI12,4403,2560,0.58,
Sine Mora EX,http://fitgirl-repacks.site/sine-mora-ex/,2017-08-10,27,Arcade  Shoot ’em up  Side  3D,Digital Reality  Grasshopper Manufacture  Gyroscope Games,ENG/MULTI10,825,565,0.68,
Sky Force Anniversary,http://fitgirl-repacks.site/sky-force-anniversary/,2016-07-15,4,,,RUS/ENG/MULTI13Original Size: 334 MBRepack Size: 127 MB,334,127,0.38,
Skylar & Plux: Adventure On Clover Island,http://fitgirl-repacks.site/skylar-plux-adventure-clover-island/,2017-05-19,12,Arcade  Platform adventure  Third-person  3D,Right Nice Games / Grip Games,,3481,2969,0.85,
Skyshine’s Bedlam REDUX,http://fitgirl-repacks.site/skyshines-bedlam-redux/,2016-07-24,1,,,ENGOriginal Size: 2.3 GBRepack Size: 1.3 GB,2355,1331,0.57,
Slice  Dice & Rice,http://fitgirl-repacks.site/slice-dice-rice/,2017-04-28,25,Arcade  Fighting  Side  3D,Dojo Games / PlayWay,ENG/MULTI3,1843,435,0.24,
Snake Pass,http://fitgirl-repacks.site/snake-pass/,2017-03-30,28,Arcade  Logic  Puzzle  Third-person  3D,,ENG/MULTI5,2150,928,0.43,
Sniper Blacklist,http://fitgirl-repacks.site/sniper-blacklist/,2016-08-12,20,,,,10035,5427,0.54,
Sniper Elite 3 – v1.15a + All DLCs + Multiplayer,http://fitgirl-repacks.site/sniper-elite-3-v1-15a-dlcs-multiplayer/,2016-12-15,181,Action  Shooter  Stealth  First-person  Third-person  3D,Rebellion Developments / 505 Games,RUS/ENG/MULTI9,21094,8704,0.41,
Sniper Elite 4: Deluxe Edition – v1.5.0 + All DLCs + Multiplayer + Dedicated Server,http://fitgirl-repacks.site/sniper-elite-4-deluxe-edition/,2017-07-26,561,Action  Shooter  First-person  3D,,RUS/ENG/MULTI10,65433,24883,0.38,
Sniper Elite V2 – v1.13 + 5 DLCs,http://fitgirl-repacks.site/sniper-elite-v2-v1-13-5-dlcs/,2017-07-05,40,Action  Shooter  Stealth  Third-person  3D,Rebellion Developments / 505 Games,RUS/ENG/MULTI7,7168,2969,0.41,
Sniper: Ghost Warrior 3 – Season Pass Edition  v1.4 + All DLCs,http://fitgirl-repacks.site/sniper-ghost-warrior-3-season-pass-edition/,2017-09-13,444,Action  Shooter  First-person  3D,,RUS/ENG/MULTI10,50380,32460,0.64,
Solar Shifter EX,http://fitgirl-repacks.site/solar-shifter-ex/,2016-07-20,1,,,,2252,764,0.34,
Solarix,http://fitgirl-repacks.site/solarix/,2016-07-15,,,,,2150,1638,0.76,
Solstice Chronicles: MIA + HotFix,http://fitgirl-repacks.site/solstice-chronicles-mia/,2017-07-29,27,Arcade  Shoot ’em up  Isometric  3D,Ironward Games / Nkidu Games,RUS/ENG/MULTI4,7987,4300,0.54,
SOMA,http://fitgirl-repacks.site/soma/,2016-07-20,6,,,RUS/ENG/MULTI7Original Size: 11 GBRepack Size: 8.3 GB,11264,8499,0.75,
Son of Nor,http://fitgirl-repacks.site/son-of-nor/,2016-07-14,1,,,RUS/ENG/MULTI6Original Size: 3 1 GBRepack Size: 1 8 GB,3174,1843,0.58,
Sonic Mania,http://fitgirl-repacks.site/sonic-mania/,2017-09-05,,Arcade  Jump and run  Side  2D,PagodaWest Games / SEGA,ENG/MULTI6,348,198,0.57,
Sonic: Lost World,http://fitgirl-repacks.site/sonic-lost-world/,2016-07-21,4,,,ENG/MULTI6Original Size: 7.2 GBRepack Size: 1.3/3.8 GB [Selective Download],7372,1331,0.18,
Sorcerer King,http://fitgirl-repacks.site/sorcerer-king/,2016-07-18,,,,,3481,2560,0.74,
Sorcerer King: Rivals,http://fitgirl-repacks.site/sorcerer-king-rivals/,2016-09-23,26,Strategy  4X  Isometric  3D  Fantasy  Turn-based,,,3481,2662,0.76,
South Park: The Fractured But Whole,http://fitgirl-repacks.site/south-park-the-fractured-but-whole/,2017-10-18,1,RPG  Side  2D,Ubisoft San Francisco  South Park Digital Studios  Ubisoft Entertainment,RUS/ENG/MULTI9,15564,7372,0.47,
Space Hulk: Ascension Edition – Ultimate Pack,http://fitgirl-repacks.site/space-hulk-ascension-edition-ultimate-pack/,2016-07-19,,,,,8908,1638,0.18,
Space Hulk: Deathwing + Multiplayer,http://fitgirl-repacks.site/space-hulk-deathwing-multiplayer/,2016-12-16,87,Action  Tactical shooter  First-person  3D,Streum On Studio  Cyanide  Focus Home Interactive,ENG/MULTI4,16998,9420,0.55,
Space Rangers HD: A War Apart v2.1.2121.0,http://fitgirl-repacks.site/space-rangers-hd-a-war-apart-v2-1-2121-0/,2016-07-29,,,,RUS/ENGOriginal Size: 3.3 GBRepack Size: 1.7 GB,3379,1740,0.51,
Space Rogue – v1.45.7805_124240,http://fitgirl-repacks.site/space-rogue-v1-45-7805_124240/,2016-09-15,24,RPG  Level randomization  Isometric  3D  Pausable real-time,,RUS/ENG/GER,673,323,0.48,
Spec Ops: The Line + 2 DLC + Multiplayer,http://fitgirl-repacks.site/spec-ops-line-2-dlc-multiplayer/,2017-01-07,171,Action  Shooter  Cover-based  Third-person  3D,Yager Development  Darkside Game Studios  2K Games,RUS/ENG/MULTI7,6246,4505,0.72,
SpellForce 3 – v1.01/Update 2,http://fitgirl-repacks.site/spellforce-3/,2017-12-08,2,RPG  Action RPG  RTS  3D,Grimlore Games / THQ Nordic,RUS/ENG/MULTI8,11776,7577,0.64,
SPORE Collection – GOG DRM-free,http://fitgirl-repacks.site/spore-collection-gog-drm-free/,2016-09-25,59,Arcade  Managerial  RPG  God sim  3D  Real-time,Maxis / Electronic Arts,RUS/ENG/MULTI19,4915,4096,0.83,
StarCraft 2: The Trilogy,http://fitgirl-repacks.site/starcraft-2-the-trilogy/,2016-07-21,97,,,RUS/ENGOriginal Size: 19.5/24.6 GBRepack Size: 15/18.2 GB,19968,15360,0.77,
StarDrive 2: Digital Deluxe Edition v1.0b,http://fitgirl-repacks.site/stardrive-2-digital-deluxe-edition-v1-0b/,2016-07-14,1,,,RUS/ENG/MULTI5Original Size: 2 3 GBRepack Size: 980 MB/1 3 GB (Selective Download),2355,980,0.42,
Starpoint Gemini 2 v1.5000 + 2 DLC,http://fitgirl-repacks.site/starpoint-gemini-2-v1-5000-2-dlc/,2016-07-18,7,,,RUS/ENG/MULTI5Original Size: 5.4 GBRepack Size: 3~3.8 GB [Selective Download],5529,3072,0.56,
Starpoint Gemini: Warlords – v1.400 HotFix + 3 DLCs,http://fitgirl-repacks.site/starpoint-gemini-warlords/,2017-10-10,70,Managerial  Simulation  Open world  3D,Intercorona / Iceberg Interactive,,8499,4300,0.51,
State of Decay: Year-One Survival Edition,http://fitgirl-repacks.site/state-of-decay-year-one-survival-edition/,2016-07-15,13,,,RUS/ENG/MULTI7Original Size: 2 9 GBRepack Size: 2 1 GB,2969,2150,0.72,
Steam Squad,http://fitgirl-repacks.site/steam-squad/,2016-07-30,1,,,RUS/ENG,1331,861,0.65,
Steel Division: Normandy 44 – Build 80629,http://fitgirl-repacks.site/steel-division-normandy-44-build-80629/,2017-05-25,95,Strategy  Tactics  World War II  Top-down  3D  Real-time,Eugen Systems / Paradox Interactive,RUS/ENG/MULTI5,21708,13004,0.6,
STEINS;GATE – Steam HD Edition,http://fitgirl-repacks.site/steinsgate-steam-hd-edition/,2016-09-16,44,Interactive fiction  Visual novel  2D  Japanese,5pb. Games  Nitroplus,ENG/JAP,5836,3993,0.68,
Stellaris: Galaxy Edition – v1.8.0 + 12 DLCs,http://fitgirl-repacks.site/stellaris-galaxy-edition/,2017-09-22,78,Strategy  Grand strategy  3D  Pausable real-time,Paradox Development Studio / Paradox Interactive,RUS/ENG/MULTI7,4096,1945,0.47,
Stranger of Sword City,http://fitgirl-repacks.site/stranger-of-sword-city/,2016-07-28,7,,,ENG/JAPOriginal Size: 3.5 GBRepack Size: 940 MB,3584,940,0.26,
Street Fighter V: Deluxe Edition – v2.00 + All DLCs,http://fitgirl-repacks.site/street-fighter-v-deluxe-edition-v2-00-dlcs/,2016-12-28,417,Arcade  Fighting  Side  3D,,RUS/ENG/MULTI13,20992,12595,0.6,
Strike Vector EX,http://fitgirl-repacks.site/strike-vector-ex/,2017-07-21,29,Action  Shooter  Vehicular combat  First-person  Third-person  3D,,ENG/MULTI6,4608,3174,0.69,
Styx: Shards of Darkness – v1.02 + DLC,http://fitgirl-repacks.site/styx-shards-darkness-v1-02-dlc/,2017-03-15,140,Action  Stealth  Third-person  3D,Cyanide / Focus Home Interactive,ENG/MULTI6,10547,7782,0.74,
Sudden Strike 4: Day One Edition – v1.04.20325 + 2 DLC,http://fitgirl-repacks.site/sudden-strike-4-day-one-edition/,2017-10-22,68,Strategy  RTS  Isometric  3D  Real-time,Kite Games / Kalypso Media,RUS/ENG/MULTI10,5836,3686,0.63,
SunAge: Battle for Elysium – Remastered,http://fitgirl-repacks.site/sunage-battle-for-elysium-remastered/,2016-07-07,,,,RUS/ENG/MULTI7Original Size: 754 MBRepack Size: 451 MB,754,451,0.6,
Superdimension Neptune VS Sega Hard Girls + All DLCs + Bonus Content,http://fitgirl-repacks.site/superdimension-neptune-vs-sega-hard-girls/,2017-06-26,46,RPG  Third-person  3D  Japanese,Felistella / Idea Factory International,ENG/MULTI3,11776,2355,0.2,
Superhot + Update 3,http://fitgirl-repacks.site/superhot-update-3/,2016-07-25,5,,,RUS/ENG/MULTI10Original Size: 1 GBRepack Size: 748 MB,1024,748,0.73,
Supreme League of Patrios: Full Season,http://fitgirl-repacks.site/supreme-league-of-patrios-full-season/,2016-07-09,,,,,5632,4403,0.78,
Sword Art Online: Hollow Realization – Deluxe Edition,http://fitgirl-repacks.site/sword-art-online-hollow-realization-deluxe-edition/,2017-11-02,,RPG  Action RPG  Third-person  3D  Japanese,Artdink / Bandai Namco Entertainment Europe,ENG/MULTI8,29798,7065,0.24,
Sword Coast Legends + Rage of Demons DLC + Update 10,http://fitgirl-repacks.site/sword-coast-legends-rage-of-demons-dlc-update-10/,2016-07-27,2,,,RUS/ENG/MULTI6Original Size: 8.3 GBRepack Size: 3.2 GB,8499,3276,0.39,
Sword of the Stars: The Pit – Necromancer v1.5.5 S + All DLCs,http://fitgirl-repacks.site/sword-of-the-stars-the-pit-necromancer-v1-5-5-s-all-dlcs/,2016-07-16,,,,,1740,864,0.5,
Syberia 3: Digital Deluxe Edition – v3.0 + DLC,http://fitgirl-repacks.site/syberia-3-digital-deluxe-edition/,2017-11-11,168,Adventure  Point-and-click  Side  3D,Microids  Koalabs  Anuman Interactive,RUS/ENG/MULTI11,21811,13926,0.64,
Syndrome v1.03f,http://fitgirl-repacks.site/syndrome-v1-03f/,2016-10-11,63,Action  Survival  First-person  3D  Horror,Camel 101 / Bigmoon Entertainment,RUS/ENG/MULTI8,3788,2252,0.59,
Syrian Warfare – v1.0.0.2,http://fitgirl-repacks.site/syrian-warfare-v1-0-0-2/,2017-02-23,141,Strategy  Tactics  RTS  3D,,RUS/ENG,7168,2355,0.33,
Table Top Racing: World Tour + Update 1 + DLC,http://fitgirl-repacks.site/table-top-racing-world-tour-update-1-dlc/,2016-07-27,2,,,RUS/ENG/MULTI15Original Size: 2.3 GBRepack Size: 1.6 GB,2355,1638,0.7,
Tacoma,http://fitgirl-repacks.site/tacoma/,2017-08-03,35,Adventure  First-person  3D,,RUS/ENG/MULTI8,3276,1740,0.53,
Take On Mars – v1.0.0001,http://fitgirl-repacks.site/take-mars-v1-0-0001/,2017-02-12,70,Exploration  Simulation  Open world  Third-person  3D,,ENG,5017,3993,0.8,
Tale of Wuxia + DLC + Update 3,http://fitgirl-repacks.site/tale-of-wuxia-dlc-update-3/,2016-07-27,8,,,ENG/MULTI3Original Size: 13.6 GBRepack Size: 2.7 GB,13926,2764,0.2,
Tale of Wuxia: The Pre-Sequel + HotFix v1.0.0.1,http://fitgirl-repacks.site/tale-of-wuxia-the-pre-sequel/,2017-08-16,28,RPG  Isometric  3D  Turn-based,Heluo Studio / Fenghuang Game,ENG/MULTI3,18124,2969,0.16,
Tales from the Borderlands: The Complete Season –  Episodes 1-5,http://fitgirl-repacks.site/tales-from-the-borderlands-the-complete-season-episodes-1-5/,2016-07-21,9,,,RUS/ENGOriginal Size: 7.9 GBRepack Size: 2.9 GB,8089,2969,0.37,
Tales of Berseria – v1.48.00#193 + 12 DLCs,http://fitgirl-repacks.site/tales-berseria-v1-48-00193-12-dlcs/,2017-02-18,369,RPG  Third-person  3D  Japanese,Bandai Namco Studios,RUS/ENG/MULTI7,14028,5836,0.42,
Tales of Symphonia + Update 3,http://fitgirl-repacks.site/tales-of-symphonia-update-3/,2016-07-23,11,,,RUS/ENG/MULTI6Original Size: 5 GBRepack Size: 3.3/3.8 GB,5120,3379,0.66,
Tales of Zestiria v1.4 + DLCs,http://fitgirl-repacks.site/tales-of-zestiria-v1-4-dlcs/,2016-07-23,42,,,RUS/ENG/MULTI7Original Size: 11.8 GBRepack Size: 9.3/9.6 GB,12083,9523,0.79,
TASTEE: Lethal Tactics + 3 DLCs,http://fitgirl-repacks.site/tastee-lethal-tactics/,2017-08-24,1,Strategy  Tactics  Isometric  3D  Simultaneous turns,,RUS/ENG/MULTI4,2662,1331,0.5,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,http://fitgirl-repacks.site/teenage-mutant-ninja-turtles-mutants-in-manhattan/,2016-07-27,5,,,ENG/MULTI5Original Size: 5.9 GBRepack Size: 4.6 GB,6041,4710,0.78,
TEKKEN 7: Digital Deluxe Edition  v1.06+ All DLCs + Multiplayer,http://fitgirl-repacks.site/tekken-7-digital-deluxe-edition/,2017-09-12,783,Arcade  Fighting  Side  3D  Japanese,Bandai Namco Studios / Bandai Namco Entertainment,RUS/ENG/MULTI11,61132,11468,0.19,
Tembo the Badass Elephant,http://fitgirl-repacks.site/tembo-the-badass-elephant/,2016-07-19,,,,ENG/MULTI5Original Size: 754 MBRepack Size: 332 MB,754,332,0.44,
Tengami,http://fitgirl-repacks.site/tengami/,2016-07-08,2,,,RUS/ENG/MULTI15Original Size: 420 MBRepack Size: 326 MB,420,326,0.78,
Test Drive Unlimited 2: Complete Edition,http://fitgirl-repacks.site/test-drive-unlimited-2-complete-edition/,2016-07-19,9,,,RUS/ENG/MULTI6,7311,5621,0.77,
The Assembly + VR DLC,http://fitgirl-repacks.site/the-assembly-vr-dlc/,2016-07-29,5,,,ENG/GER/FREOriginal Size: 3.7 GBRepack Size: 2.6 GB,3788,2662,0.7,
The Banner Saga 2,http://fitgirl-repacks.site/the-banner-saga-2/,2016-07-25,2,,,,3481,2662,0.76,
The Banner Saga v2.18.08 + 2 DLC,http://fitgirl-repacks.site/the-banner-saga-v2-18-08-2-dlc/,2016-07-19,7,,,RUS/ENG/MULTI8Original Size: 4.4 GBRepack Size: 1.5~2.2 GB [Selective Download],4505,1536,0.34,
The Battle of Sol,http://fitgirl-repacks.site/the-battle-of-sol/,2016-07-18,4,,,,4198,2355,0.56,
The Book of Unwritten Tales 2,http://fitgirl-repacks.site/the-book-of-unwritten-tales-2/,2016-07-10,2,,,ENG/GEROriginal Size: 4 6 GBRepack Size: 2~3 GB (Selective Download),4710,2048,0.43,
The Bunker,http://fitgirl-repacks.site/the-bunker/,2016-09-21,28,Interactive movie  2D  Horror,Splendy Interactive  Wales Interactive  Green Man Loaded,,10137,4812,0.47,
The Bureau : XCOM Declassified – The Complete Edition (+All DLCs),http://fitgirl-repacks.site/the-bureau-xcom-declassified-the-complete-edition-all-dlcs/,2016-07-08,21,,,MULTI8Original Size: 11 GBRepack Size: 5~6.6 GB SELECTIVE DOWNLOAD,11264,5120,0.45,
The Butterfly Sign – v1.1.2/Update 5,http://fitgirl-repacks.site/butterfly-sign-v1-1-2update-5/,2016-12-17,41,Action  Adventure  First-person  3D,,RUS/ENG/MULTI4,9932,7475,0.75,
The Deadly Tower of Monsters,http://fitgirl-repacks.site/the-deadly-tower-of-monsters/,2016-07-22,,,,RUS/ENG/MULTI7Original Size: 1.2 GBRepack Size: 641 MB,1228,641,0.52,
The Descendant: Episode One,http://fitgirl-repacks.site/the-descendant-episode-one/,2016-07-24,,,,,3686,1433,0.39,
The Descendant: Full Season (Episodes 1-5),http://fitgirl-repacks.site/descendant-full-season-episodes-1-5/,2016-12-09,43,Adventure  Puzzle solving  Third-person  3D,,ENG/MULTI5,7065,4096,0.58,
The Detail: Episode 1 – Where the Dead Lie,http://fitgirl-repacks.site/the-detail-episode-1-where-the-dead-lie/,2016-07-06,1,,,,570,345,0.61,
The Dwarves – v1.1.2.57,http://fitgirl-repacks.site/dwarves-v1-1-2-57/,2016-12-04,38,RPG  Open world  Isometric  3D  Real-time,KING Art / EuroVideo Medien,RUS/ENG/MULTI8,10547,6246,0.59,
The Elder Scrolls: Skyrim – Special Edition – v1.3,http://fitgirl-repacks.site/elder-scrolls-skyrim-special-edition/,2016-12-14,521,RPG  First-person  Third-person  3D,Bethesda Game Studios / Bethesda Softworks,RUS/ENG/MULTI8,21811,7884,0.36,
The Evil Within + 4 DLCs (The Complete Edition),http://fitgirl-repacks.site/the-evil-within/,2016-07-16,53,,,RUS/ENG/MULTI7Original Size: 54 GBRepack Size: 15 2~15 6 GB [Selective Download],55296,15564,0.28,
The Evil Within 2 + DLC,http://fitgirl-repacks.site/the-evil-within-2/,2017-10-13,2,Action  Open world  Survival  Third-person  3D  Horror,Tango Gameworks / Bethesda Softworks,RUS/ENG/MULTI12,31744,14540,0.46,
The Fidelio Incident,http://fitgirl-repacks.site/the-fidelio-incident/,2017-05-23,77,Adventure  Exploration  First-person  3D,,,4505,2764,0.61,
The Golf Club 2,http://fitgirl-repacks.site/the-golf-club-2/,2017-06-28,31,Sports  Golf  Third-person  3D,HB Studios / Maximum Games,,3174,2048,0.65,
The Incredible Adventures of Van Helsing III,http://fitgirl-repacks.site/the-incredible-adventures-of-van-helsing-iii/,2016-07-16,3,,,ENG/MULTI8Original Size: 12 7 GBRepack Size: 4 5 GB,13004,4608,0.35,
The Incredible Adventures of Van Helsing: Final Cut – v1.0.4,http://fitgirl-repacks.site/the-incredible-adventures-of-van-helsing-final-cut-v1-0-4/,2016-07-21,12,,,RUS/ENG/MULTI9Original Size: 27.7 GBRepack Size: 8.9/9.1 GB,28364,9113,0.32,
The King of Fighters ’98: Ultimate Match – Final Edition,http://fitgirl-repacks.site/the-king-of-fighters-98-ultimate-match-final-edition/,2016-07-07,9,,,ENG/JAPOriginal Size: 462 MBRepack Size: 315 MB,462,315,0.68,
The King of Fighters 2002: Unlimited Match,http://fitgirl-repacks.site/the-king-of-fighters-2002-unlimited-match/,2016-07-10,2,,,ENG/JAPOriginal Size: 1 4 GBRepack Size: 519 MB,1433,519,0.36,
The King of Fighters XIV: Steam Edition – v1.10 + Deluxe Pack,http://fitgirl-repacks.site/the-king-of-fighters-xiv-steam-edition/,2017-06-18,107,Arcade  Fighting  Side  3D,,ENG/MULTI10,13209,8089,0.61,
The Legend of Heroes: Trails in the Sky the 3rd + HotFix,http://fitgirl-repacks.site/legend-heroes-trails-sky-3rd-hotfix/,2017-05-04,44,RPG  Isometric  3D  Party-based  Japanese,Nihon Falcom / Marvelous USA,,3788,2764,0.73,
The Legend of Heroes: Trails of Cold Steel + 18 DLCs,http://fitgirl-repacks.site/the-legend-of-heroes-trails-of-cold-steel/,2017-08-04,257,RPG  Third-person  3D  Japanese  Turn-based,Nihon Falcom / Marvelous USA,ENG/JAP,11776,1843,0.16,
The Legend of Zelda: Breath of the Wild – v1.1.0 + Cemu v1.7.3d,http://fitgirl-repacks.site/legend-zelda-breath-wild-v1-1-0-cemu-v1-7-3d/,2017-03-24,709,RPG  Open world  Third-person  3D,,RUS/ENG/MULTI6,26214,5222,0.2,
The LEGO Ninjago Movie – Video Game,http://fitgirl-repacks.site/the-lego-ninjago-movie-video-game/,2017-10-04,,Action  Third-person  3D,TT Games / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI13,17203,6348,0.37,
The Long Dark  v1.16.33814,http://fitgirl-repacks.site/the-long-dark/,2017-12-08,32,Action  Open world  Survival  First-person  3D,,RUS/ENG/MULTI16,3891,2969,0.76,
The Long Journey Home,http://fitgirl-repacks.site/long-journey-home/,2017-05-31,45,RPG  Open world  Top-down  3D,Daedalic Entertainment Studio West / Daedalic Entertainment,RUS/ENG/MULTI9,4608,2662,0.58,
The Magic Circle inc. Update 4,http://fitgirl-repacks.site/the-magic-circle-inc-update-4/,2016-07-18,,,,ENG/MULTI5Original Size: 1 GBRepack Size: 665 MB,1024,665,0.65,
The Old City: Leviathan,http://fitgirl-repacks.site/the-old-city-leviathan/,2016-07-06,2,,,,2867,1853,0.65,
The Painscreek Killings,http://fitgirl-repacks.site/the-painscreek-killings/,2017-10-01,,Adventure  First-person  3D,,,7475,3481,0.47,
The Park,http://fitgirl-repacks.site/the-park/,2016-07-21,,,,,2867,2048,0.71,
The Saboteur – GOG DRM-Free,http://fitgirl-repacks.site/saboteur-gog-drm-free/,2016-09-26,76,Action  Shooter  Stealth  Third-person  3D,Pandemic Studios / EA,RUS/ENG/MULTI6,5632,2355,0.42,
The Sexy Brutale,http://fitgirl-repacks.site/the-sexy-brutale/,2017-04-12,67,Adventure  Point-and-click  Isometric  3D,Cavalier Game Studios / Tequila Works,ENG/MULTI5,1433,1024,0.71,
The Sims 4: Deluxe Edition – v1.36.102.1020 + All DLCs & Add-ons,http://fitgirl-repacks.site/sims-4-deluxe-edition/,2017-11-11,1,Artificial life  Managerial  God sim  3D,Maxis / Electronic Arts,RUS/ENG/MULTI17,26931,16384,0.61,
The Solus Project,http://fitgirl-repacks.site/the-solus-project/,2016-07-28,1,,,RUS/ENG/MULTI10Original Size: 3.7 GBRepack Size: 2.8 GB,3788,2867,0.76,
The Surge + Update 8 + 3 DLCs,http://fitgirl-repacks.site/the-surge/,2017-12-06,346,RPG  Action RPG  3D,Deck13 Interactive / Focus Home Interactive,RUS/ENG/MULTI9,14336,3686,0.26,
The Talos Principle – v284152 + All DLCs,http://fitgirl-repacks.site/talos-principle-v284152-dlcs/,2017-01-15,94,Puzzle  3D  First-person,CroTeam / Devolver Digital,RUS/ENG/MULTI15,11059,4915,0.44,
The Technomancer,http://fitgirl-repacks.site/the-technomancer/,2016-07-29,3,,,ENG/MULTI6Original Size: 8.7 GBRepack Size: from 5.7 GB [Selective Download],8908,5836,0.66,
The Turing Test: Collector’s Edition,http://fitgirl-repacks.site/turing-test-collectors-edition/,2016-08-31,54,Logic  Puzzle  Physics-based  First-person  3D,Bulkhead Interactive / Square Enix,,5939,2826,0.48,
The Uncertain: Episode 1 – The Last Quiet Day,http://fitgirl-repacks.site/uncertain-episode-1-last-quiet-day/,2016-09-22,21,Adventure  Third-person  3D  Post-apocalypse,ComonGames,RUS/ENG,8499,2867,0.34,
The Walking Dead: A New Frontier – Complete Season,http://fitgirl-repacks.site/walking-dead-new-frontier-complete-season/,2017-06-01,126,Adventure  Third-person  3D  Horror,,RUS/ENG/MULTI9,16701,5376,0.32,
The Witcher 2: Assassins of Kings – Enhanced Edition  v3.4.4.1 + Bonus Content,http://fitgirl-repacks.site/the-witcher-2-assassins-of-kings-enhanced-edition/,2017-07-09,189,RPG  Third-person  3D,CD Projekt RED / CD Projekt,RUS/ENG/MULTI14,17715,8908,0.5,
